Date,price
2018-12-07,18.6
2018-12-10,18.799999
2018-12-11,18.01
2018-12-12,18.68
2018-12-13,18.76
2018-12-14,18.32
2018-12-17,17.0
2018-12-18,17.0
2018-12-19,16.18
2018-12-20,15.5
2018-12-21,14.47
2018-12-24,14.03
2018-12-26,13.52
2018-12-27,14.65
2018-12-28,14.15
2018-12-31,15.27
2019-01-02,15.33
2019-01-03,15.5
2019-01-04,16.959999
2019-01-07,16.27
2019-01-08,16.950001
2019-01-09,16.33
2019-01-10,16.48
2019-01-11,17.0
2019-01-14,16.74
2019-01-15,16.59
2019-01-16,16.26
2019-01-17,16.309998999999998
2019-01-18,16.690001000000002
2019-01-22,15.56
2019-01-23,14.79
2019-01-24,14.64
2019-01-25,14.91
2019-01-28,14.45
2019-01-29,14.63
2019-01-30,15.13
2019-01-31,16.6
2019-02-01,16.219998999999998
2019-02-04,16.27
2019-02-05,17.18
2019-02-06,18.139999
2019-02-07,17.049999
2019-02-08,17.99
2019-02-11,18.17
2019-02-12,18.690001000000002
2019-02-13,18.530001000000002
2019-02-14,19.66
2019-02-15,21.440001000000002
2019-02-19,20.83
2019-02-20,19.92
2019-02-21,19.34
2019-02-22,19.879998999999998
2019-02-25,21.65
2019-02-26,23.700001
2019-02-27,22.1
2019-02-28,22.6
2019-03-01,22.27
2019-03-04,21.120001000000002
2019-03-05,21.370001000000002
2019-03-06,20.65
2019-03-07,20.59
2019-03-08,20.93
2019-03-11,20.43
2019-03-12,19.26
2019-03-13,19.969998999999998
2019-03-14,20.82
2019-03-15,21.82
2019-03-18,22.18
2019-03-19,20.35
2019-03-20,20.0
2019-03-21,19.34
2019-03-22,19.0
2019-03-25,19.4
2019-03-26,19.9
2019-03-27,19.27
2019-03-28,19.66
2019-03-29,20.35
2019-04-01,20.59
2019-04-02,19.700001
2019-04-03,21.33
2019-04-04,23.08
2019-04-05,25.959999
2019-04-08,27.23
2019-04-09,26.82
2019-04-10,26.799999
2019-04-11,25.73
2019-04-12,24.610001
2019-04-15,25.84
2019-04-16,23.780001000000002
2019-04-17,23.5
2019-04-18,22.51
2019-04-22,23.629998999999998
2019-04-23,24.700001
2019-04-24,25.76
2019-04-25,25.74
2019-04-26,26.26
2019-04-29,25.139999
2019-04-30,26.030001000000002
2019-05-01,26.4
2019-05-02,28.34
2019-05-03,27.200001
2019-05-06,27.1
2019-05-07,24.549999
2019-05-08,23.540001
2019-05-09,23.26
2019-05-10,24.92
2019-05-13,24.43
2019-05-14,23.59
2019-05-15,23.120001000000002
2019-05-16,23.459999
2019-05-17,23.08
2019-05-20,22.6
2019-05-21,22.700001
2019-05-22,22.0
2019-05-23,21.379998999999998
2019-05-24,21.83
2019-05-28,21.540001
2019-05-29,21.700001
2019-05-30,21.49
2019-05-31,20.780001000000002
2019-06-03,19.85
2019-06-04,19.469998999999998
2019-06-05,17.700001
2019-06-06,17.940001000000002
2019-06-07,17.52
2019-06-10,15.67
2019-06-11,16.0
2019-06-12,16.299999
2019-06-13,16.16
2019-06-14,15.4
2019-06-17,15.77
2019-06-18,15.74
2019-06-19,15.5
2019-06-20,15.18
2019-06-21,14.7
2019-06-24,14.04
2019-06-25,13.77
2019-06-26,13.7
2019-06-27,14.34
2019-06-28,14.64
2019-07-01,14.73
2019-07-02,14.4
2019-07-03,15.31
2019-07-05,14.96
2019-07-08,14.29
2019-07-09,14.85
2019-07-10,14.48
2019-07-11,14.44
2019-07-12,14.2
2019-07-15,14.32
2019-07-16,14.14
2019-07-17,14.03
2019-07-18,14.26
2019-07-19,14.11
2019-07-22,14.05
2019-07-23,13.6
2019-07-24,14.47
2019-07-25,13.51
2019-07-26,14.12
2019-07-29,13.69
2019-07-30,13.4
2019-07-31,13.1
2019-08-01,13.01
2019-08-02,12.73
2019-08-05,12.26
2019-08-06,12.29
2019-08-07,12.85
2019-08-08,13.19
2019-08-09,13.33
2019-08-12,13.02
2019-08-13,13.3
2019-08-14,12.74
2019-08-15,12.67
2019-08-16,13.16
2019-08-19,13.4
2019-08-20,14.15
2019-08-21,14.29
2019-08-22,14.16
2019-08-23,13.88
2019-08-26,14.97
2019-08-27,14.51
2019-08-28,14.82
2019-08-29,15.18
2019-08-30,15.73
2019-09-03,14.88
2019-09-04,15.42
2019-09-05,15.53
2019-09-06,15.88
2019-09-09,16.030001000000002
2019-09-10,17.09
2019-09-11,15.92
2019-09-12,16.4
2019-09-13,16.709999
2019-09-16,17.049999
2019-09-17,17.66
2019-09-18,17.780001000000002
2019-09-19,17.9
2019-09-20,18.07
2019-09-23,17.83
2019-09-24,17.82
2019-09-25,17.18
2019-09-26,16.34
2019-09-27,15.9
2019-09-30,15.92
2019-10-01,14.81
2019-10-02,14.86
2019-10-03,15.07
2019-10-04,15.51
2019-10-07,15.47
2019-10-08,15.31
2019-10-09,14.2
2019-10-10,14.16
2019-10-11,14.055
2019-10-14,13.93
2019-10-15,14.33
2019-10-16,14.15
2019-10-17,14.54
2019-10-18,14.81
2019-10-21,15.5
2019-10-22,15.92
2019-10-23,16.9
2019-10-24,16.59
2019-10-25,17.01
2019-10-28,17.030001000000002
2019-10-29,16.99
2019-10-30,17.139999
2019-10-31,16.75
2019-11-01,15.66
2019-11-04,16.799999
2019-11-05,16.889999
2019-11-06,16.129998999999998
2019-11-07,17.5
2019-11-08,17.49
2019-11-11,17.4
2019-11-12,17.99
2019-11-13,18.25
2019-11-14,18.34
2019-11-15,19.370001000000002
2019-11-18,19.450001
2019-11-19,19.360001
2019-11-20,20.18
2019-11-21,20.200001
2019-11-22,20.690001000000002
2019-11-25,20.0
2019-11-26,20.33
2019-11-27,20.370001000000002
2019-11-29,20.360001
2019-12-02,19.76
2019-12-03,21.280001000000002
2019-12-04,21.27
2019-12-05,20.639999
2019-12-06,18.940001000000002
2019-12-09,18.780001000000002
2019-12-10,18.870001000000002
2019-12-11,18.65
2019-12-12,18.450001
2019-12-13,18.620001000000002
2019-12-16,18.52
2019-12-17,18.440001000000002
2019-12-18,18.639999
2019-12-19,19.41
2019-12-20,19.83
2019-12-23,19.700001
2019-12-24,19.75
2019-12-26,19.860001
2019-12-27,19.52
2019-12-30,19.049999
2019-12-31,19.559998999999998
2020-01-02,19.23
2020-01-03,18.889999
2020-01-06,18.129998999999998
2020-01-07,17.780001000000002
2020-01-08,17.98
2020-01-09,18.4
2020-01-10,19.139999
2020-01-13,20.26
2020-01-14,20.0
2020-01-15,20.24
2020-01-16,21.01
2020-01-17,20.620001000000002
2020-01-21,20.940001000000002
2020-01-22,21.969998999999998
2020-01-23,21.469998999999998
2020-01-24,21.120001000000002
2020-01-27,22.74
2020-01-28,22.360001
2020-01-29,20.549999
2020-01-30,20.99
2020-01-31,20.51
2020-02-03,20.379998999999998
2020-02-04,20.870001000000002
2020-02-05,20.049999
2020-02-06,19.879998999999998
2020-02-07,23.24
2020-02-10,23.65
2020-02-11,21.35
2020-02-12,19.01
2020-02-13,19.045
2020-02-14,19.0
2020-02-18,18.91
2020-02-19,18.92
2020-02-20,18.540001
2020-02-21,18.23
2020-02-24,18.59
2020-02-25,23.76
2020-02-26,29.16
2020-02-27,26.16
2020-02-28,25.93
2020-03-02,29.879998999999998
2020-03-03,27.91
2020-03-04,27.49
2020-03-05,28.01
2020-03-06,29.610001
2020-03-09,24.290001
2020-03-10,22.34
2020-03-11,23.610001
2020-03-12,22.299999
2020-03-13,21.299999
2020-03-16,26.49
2020-03-17,28.18
2020-03-18,31.58
2020-03-19,28.27
2020-03-20,28.200001
2020-03-23,26.57
2020-03-24,25.82
2020-03-25,27.129998999999998
2020-03-26,27.940001000000002
2020-03-27,30.049999
2020-03-30,30.48
2020-03-31,29.950001
2020-04-01,29.67
2020-04-02,33.200001
2020-04-03,34.84
2020-04-06,34.639998999999996
2020-04-07,32.02
2020-04-08,32.419998
2020-04-09,31.860001
2020-04-13,32.900002
2020-04-14,34.66
2020-04-15,37.25
2020-04-16,40.599998
2020-04-17,46.849998
2020-04-20,51.689999
2020-04-21,49.259997999999996
2020-04-22,51.200001
2020-04-23,47.439999
2020-04-24,50.5
2020-04-27,48.049999
2020-04-28,47.880001
2020-04-29,46.369999
2020-04-30,45.990002000000004
2020-05-01,47.93
2020-05-04,50.5
2020-05-05,49.34
2020-05-06,48.950001
2020-05-07,53.189999
2020-05-08,59.25
2020-05-11,66.900002
2020-05-12,62.349998
2020-05-13,65.18
2020-05-14,64.559998
2020-05-15,66.690002
2020-05-18,80.0
2020-05-19,71.66999799999999
2020-05-20,73.470001
2020-05-21,67.050003
2020-05-22,69.0
2020-05-26,57.709998999999996
2020-05-27,52.18
2020-05-28,55.540001000000004
2020-05-29,61.5
2020-06-01,62.18
2020-06-02,59.869999
2020-06-03,59.889998999999996
2020-06-04,60.59
2020-06-05,58.189999
2020-06-08,59.099998
2020-06-09,58.23
2020-06-10,60.07
2020-06-11,60.200001
2020-06-12,62.0
2020-06-15,66.57
2020-06-16,64.339996
2020-06-17,63.310001
2020-06-18,64.949997
2020-06-19,66.349998
2020-06-22,64.75
2020-06-23,62.939999
2020-06-24,64.839996
2020-06-25,62.0
2020-06-26,61.279999
2020-06-29,62.080002
2020-06-30,64.209999
2020-07-01,61.59
2020-07-02,58.57
2020-07-06,59.150002
2020-07-07,61.09
2020-07-08,61.580002
2020-07-09,64.959999
2020-07-10,62.610001000000004
2020-07-13,71.779999
2020-07-14,75.040001
2020-07-15,80.220001
2020-07-16,81.809998
2020-07-17,94.849998
2020-07-20,82.68
2020-07-21,80.860001
2020-07-22,83.224998
2020-07-23,75.33000200000001
2020-07-24,73.209999
2020-07-27,79.910004
2020-07-28,81.489998
2020-07-29,79.510002
2020-07-30,77.629997
2020-07-31,74.099998
2020-08-03,77.980003
2020-08-04,78.459999
2020-08-05,75.800003
2020-08-06,73.760002
2020-08-07,74.099998
2020-08-10,72.010002
2020-08-11,68.970001
2020-08-12,69.519997
2020-08-13,67.83000200000001
2020-08-14,69.150002
2020-08-17,69.760002
2020-08-18,67.029999
2020-08-19,68.0
2020-08-20,67.809998
2020-08-21,66.449997
2020-08-24,64.879997
2020-08-25,66.25
2020-08-26,70.5
2020-08-27,68.029999
2020-08-28,67.489998
2020-08-31,64.889999
2020-09-01,63.32
2020-09-02,64.720001
2020-09-03,64.839996
2020-09-04,62.599998
2020-09-08,54.34
2020-09-09,56.900002
2020-09-10,57.560001
2020-09-11,59.34
2020-09-14,63.669998
2020-09-15,66.879997
2020-09-16,68.839996
2020-09-17,67.889999
2020-09-18,69.870003
2020-09-21,69.260002
2020-09-22,68.720001
2020-09-23,67.160004
2020-09-24,65.16999799999999
2020-09-25,69.470001
2020-09-28,70.550003
2020-09-29,70.519997
2020-09-30,70.75
2020-10-01,70.029999
2020-10-02,68.809998
2020-10-05,71.949997
2020-10-06,71.040001
2020-10-07,72.370003
2020-10-08,72.93
2020-10-09,73.0
2020-10-12,75.309998
2020-10-13,78.290001
2020-10-14,76.559998
2020-10-15,75.58000200000001
2020-10-16,73.940002
2020-10-19,70.959999
2020-10-20,71.309998
2020-10-21,68.370003
2020-10-22,70.839996
2020-10-23,70.529999
2020-10-26,70.239998
2020-10-27,70.66999799999999
2020-10-28,65.739998
2020-10-29,71.279999
2020-10-30,67.470001
2020-11-02,67.110001
2020-11-03,69.08000200000001
2020-11-04,69.809998
2020-11-05,71.480003
2020-11-06,72.449997
2020-11-09,77.739998
2020-11-10,76.050003
2020-11-11,82.440002
2020-11-12,87.809998
2020-11-13,89.389999
2020-11-16,97.949997
2020-11-17,93.150002
2020-11-18,88.889999
2020-11-19,92.769997
2020-11-20,97.610001
